Name,No. of Reviews,Area,Est. Price ($),Categories,URL
Pan Zhong Wu,4,Macpherson,15,"Zi Char, Seafood, Good For Groups",https://www.burpple.com/pan-zhong-wu?bp_ref=%2Fsearch%2Fsg
Hippo Family Restaurant,7,Macpherson,10,Zi Char,https://www.burpple.com/hippo-family-restaurant?bp_ref=%2Fsearch%2Fsg
旺财小厨,3,Macpherson,,"Hawker Food, Chinese",https://www.burpple.com/qQh_qh7Z?bp_ref=%2Fsearch%2Fsg
Sweetest Moments,8,Macpherson,,"Cakes, Desserts",https://www.burpple.com/sweetest-moments?bp_ref=%2Fsearch%2Fsg
Cheng Mun Kee Pig's Organ Soup (79 & 79A Circuit Road Food Centre),4,Macpherson,10,"Rainy Day Comforts, Supper, Hawker Food",https://www.burpple.com/cheng-mun-kee-pigs-organ-soup?bp_ref=%2Fsearch%2Fsg
LC Food Centre,2,Macpherson,,"Kopitiam, Hawker Food",https://www.burpple.com/lc-fod-centre?bp_ref=%2Fsearch%2Fsg
Green Croft (18 Tai Seng),3,Macpherson,15,"Salads, Healthy",https://www.burpple.com/green-croft-tai-seng?bp_ref=%2Fsearch%2Fsg
LiXin Teochew Fishball Noodle (BreadTalk IHQ),9,Macpherson,,"Kopitiam, Hawker Food",https://www.burpple.com/li-xin-teochew-fishball-noodles-at-food-republic-at-breadtalk-ih?bp_ref=%2Fsearch%2Fsg
Truly Test Kitchen,174,Macpherson,5,"Local Delights, Hawker Food, Cheap & Good",https://www.burpple.com/truly-test-kitchen?bp_ref=%2Fsearch%2Fsg
U-10 Eating House,2,Macpherson,5,"Kopitiam, Hawker Food",https://www.burpple.com/u10-eating-house?bp_ref=%2Fsearch%2Fsg
Mr Lorbak (Ubi),25,Macpherson,5,"Cheap & Good, Hawker Food",https://www.burpple.com/mr-lorbak?bp_ref=%2Fsearch%2Fsg
Rocky Master (StarHub Green),8,Macpherson,15,"Cafes & Coffee, Western, Halal",https://www.burpple.com/rocky-masters?bp_ref=%2Fsearch%2Fsg
Sarpino's Pizza (Paya Lebar Road),1,Macpherson,10,"Pizza, Fast Food, Halal",https://www.burpple.com/sarpinos-paya-lebar?bp_ref=%2Fsearch%2Fsg
Saigon2,1,Macpherson,,"Vietnamese, Sandwiches",https://www.burpple.com/saigon2?bp_ref=%2Fsearch%2Fsg
Apple Thai Food & Mookata,1,Macpherson,,"Thai, Mookata, Good For Groups, BBQ",https://www.burpple.com/apple-thai-food-mookata?bp_ref=%2Fsearch%2Fsg
Let's Eat (18 Tai Seng),1,Macpherson,5,Hawker Food,https://www.burpple.com/lets-eat-18-tai-seng?bp_ref=%2Fsearch%2Fsg
Jia Xiang Sarawak Kolo Mee (18 Tai Seng),4,Macpherson,10,Hawker Food,https://www.burpple.com/jia-xiang-sarawak-kolo-mee-18-tai-seng?bp_ref=%2Fsearch%2Fsg
KobePi (The Commerze @ Irving),3,Macpherson,10,Japanese,https://www.burpple.com/kobepi?bp_ref=%2Fsearch%2Fsg
YCC Home Kitchen 食家庄,9,Macpherson,15,"Zi Char, Seafood, Chinese",https://www.burpple.com/ycc-home-kitchen?bp_ref=%2Fsearch%2Fsg
Maxwell Hakka Handmade Yong Tau Foo (Maxwell Food Centre),8,Macpherson,5,Hawker Food,https://www.burpple.com/maxwell-hakka-handmade-yong-tau-foo?bp_ref=%2Fsearch%2Fsg
Juice Paradise,2,Macpherson,5,"Desserts, Healthy",https://www.burpple.com/juice-paradise?bp_ref=%2Fsearch%2Fsg
LiHO (18 Tai Seng),4,Macpherson,5,Desserts,https://www.burpple.com/liho-13?bp_ref=%2Fsearch%2Fsg
Sis’s Eatery,2,Macpherson,5,Hawker Food,https://www.burpple.com/siss-eatery?bp_ref=%2Fsearch%2Fsg
Green Croft (18 Tai Seng),3,Macpherson,15,"Salads, Healthy",https://www.burpple.com/green-croft-tai-seng?bp_ref=%2Fsearch%2Fsg
U-10 Eating House,2,Macpherson,5,"Kopitiam, Hawker Food",https://www.burpple.com/u10-eating-house?bp_ref=%2Fsearch%2Fsg
Rocky Master (StarHub Green),8,Macpherson,15,"Cafes & Coffee, Western, Halal",https://www.burpple.com/rocky-masters?bp_ref=%2Fsearch%2Fsg
Sarpino's Pizza (Paya Lebar Road),1,Macpherson,10,"Pizza, Fast Food, Halal",https://www.burpple.com/sarpinos-paya-lebar?bp_ref=%2Fsearch%2Fsg
Mr Lorbak (Ubi),25,Macpherson,5,"Cheap & Good, Hawker Food",https://www.burpple.com/mr-lorbak?bp_ref=%2Fsearch%2Fsg
Sunny Korean Cuisine (18 Tai Seng),5,Macpherson,10,"Korean, Cheap & Good",https://www.burpple.com/sunny-korean-tai-seng?bp_ref=%2Fsearch%2Fsg
Block 80 Circuit Road Market & Food Centre,15,Macpherson,10,Hawker Food,https://www.burpple.com/blk-80-circuit-road-market-food-centre?bp_ref=%2Fsearch%2Fsg
Lam Bee Restaurant,3,Macpherson,5,"Chicken Rice, Hawker Food",https://www.burpple.com/lam-bee-restaurant?bp_ref=%2Fsearch%2Fsg
Hei Sushi (Sakae Building),3,Macpherson,20,"Sushi, Japanese, Halal",https://www.burpple.com/sakae-buildinghei-sushi?bp_ref=%2Fsearch%2Fsg
Lee Do Restaurant,22,Macpherson,35,"Seafood, Chinese",https://www.burpple.com/lee-do-cold-crab-restaurant?bp_ref=%2Fsearch%2Fsg
Flame Cafe,45,Macpherson,30,"Buffets, Steamboat, Mookata, BBQ, Western, Waffles, Cafes & Coffee, Breakfast & Brunch, Halal",https://www.burpple.com/flame-cafe?bp_ref=%2Fsearch%2Fsg
Toast Box (BreadTalk IHQ),10,Macpherson,10,"Local Delights, Bread, Breakfast & Brunch, Cafes & Coffee",https://www.burpple.com/toast-box-at-ihq?bp_ref=%2Fsearch%2Fsg
U Hakka Niang Tou Fu (79 & 79A Circuit Road Food Centre),2,Macpherson,5,"Local Delights, Cheap & Good, Hawker Food",https://www.burpple.com/u-hakka-niang-tou-fu?bp_ref=%2Fsearch%2Fsg
Unique Burger,4,Macpherson,10,"Western, Burgers",https://www.burpple.com/unique-burger?bp_ref=%2Fsearch%2Fsg
Kim Hai Fried Hokken Mee (79 & 79A Circuit Road Food Centre),2,Macpherson,5,Hawker Food,https://www.burpple.com/kim-hai-fried-hokken-mee?bp_ref=%2Fsearch%2Fsg
Toast Box (BreadTalk IHQ),10,Macpherson,10,"Local Delights, Bread, Breakfast & Brunch, Cafes & Coffee",https://www.burpple.com/toast-box-at-ihq?bp_ref=%2Fsearch%2Fsg
Wong Poh Kopitiam,6,Macpherson,,"Kopitiam, Hawker Food",https://www.burpple.com/wong-poh-kopitiam?bp_ref=%2Fsearch%2Fsg
Ghim Guan Fried Oyster (79 & 79A Circuit Road Food Centre),5,Macpherson,5,"Cheap & Good, Hawker Food",https://www.burpple.com/ghim-guan-fried-oyster?bp_ref=%2Fsearch%2Fsg
Unique Burger,4,Macpherson,10,"Western, Burgers",https://www.burpple.com/unique-burger?bp_ref=%2Fsearch%2Fsg
Spark Restaurant,1,Macpherson,,Dinner with Drinks,https://www.burpple.com/spark-restaurant?bp_ref=%2Fsearch%2Fsg
Ruby Seafood White Bee Hoon,0,Macpherson,10,"Seafood, Hawker Food",https://www.burpple.com/ruby-seafood-white-bee-hoon-ruby-industrial-complex?bp_ref=%2Fsearch%2Fsg
Selegie Soya Bean (Ubi),1,Macpherson,5,"Local Delights, Desserts",https://www.burpple.com/selegie-soya-bean-ubi?bp_ref=%2Fsearch%2Fsg
Fun Toast (18 Tai Seng),2,Macpherson,5,"Local Delights, Bread, Cafes & Coffee",https://www.burpple.com/fun-toast-at-18-tai-seng?bp_ref=%2Fsearch%2Fsg
U Hakka Niang Tou Fu (79 & 79A Circuit Road Food Centre),2,Macpherson,5,"Local Delights, Cheap & Good, Hawker Food",https://www.burpple.com/u-hakka-niang-tou-fu?bp_ref=%2Fsearch%2Fsg
Da Sheng Minced Pork Noodle,5,Macpherson,5,Hawker Food,https://www.burpple.com/da-sheng-minced-pork-noodle?bp_ref=%2Fsearch%2Fsg
Ming Kee Live Seafood,33,Macpherson,40,"Zi Char, Seafood",https://www.burpple.com/ming-kee-live-seafood?bp_ref=%2Fsearch%2Fsg
Tim Ho Wan (18 Tai Seng),9,Macpherson,20,"Dim Sum, Chinese",https://www.burpple.com/tim-ho-wan-at-18-tai-seng?bp_ref=%2Fsearch%2Fsg
Long John Silver's (18 Tai Seng),2,Macpherson,10,"Fast Food, Halal",https://www.burpple.com/long-john-silver-4?bp_ref=%2Fsearch%2Fsg
Food Republic (Breadtalk IHQ),13,Macpherson,10,"Kopitiam, Hawker Food",https://www.burpple.com/food-republic-at-tai-seng?bp_ref=%2Fsearch%2Fsg
New Taste 新嘉飨,1,Macpherson,,"Good For Groups, Chinese",https://www.burpple.com/new-taste?bp_ref=%2Fsearch%2Fsg
LJJ Cafe,4,Macpherson,10,"Local Delights, Cafes & Coffee",https://www.burpple.com/ljj-cafe?bp_ref=%2Fsearch%2Fsg
Yan Chuan Roaster,3,Macpherson,10,Hawker Food,https://www.burpple.com/yan-chuan-roaster-pte-ltd?bp_ref=%2Fsearch%2Fsg
Eat Inn,2,Macpherson,,Kopitiam,https://www.burpple.com/eat-inn?bp_ref=%2Fsearch%2Fsg
Choo Zai Zhai Vegeterian Food (79 & 79A Circuit Road Food Centre),4,Macpherson,5,"Vegetarian, Hawker Food",https://www.burpple.com/choo-zai-zhai-vegetarian-stall?bp_ref=%2Fsearch%2Fsg
83 Seafood Restaurant,16,Macpherson,20,"Seafood, Zi Char, Good For Groups",https://www.burpple.com/83-seafood-restaurant?bp_ref=%2Fsearch%2Fsg
Boon Wah Family Restaurant,5,Macpherson,10,"Seafood, Zi Char, Good For Groups, Hawker Food",https://www.burpple.com/boon-wah-family-restaurant?bp_ref=%2Fsearch%2Fsg
Xian 鲜 Seafood La La Beehoon,7,Macpherson,10,"Zi Char, Seafood, Hawker Food",https://www.burpple.com/xian-seafood-la-la-beehoon?bp_ref=%2Fsearch%2Fsg
Ali Khan Restaurant,11,Macpherson,,"Indian, Supper, Hawker Food",https://www.burpple.com/ali-khan-restaurant?bp_ref=%2Fsearch%2Fsg
Malcolm Bistro,1,Macpherson,,"French, Date Night, Dinner with Drinks, Cafes & Coffee",https://www.burpple.com/malcolm-bistro?bp_ref=%2Fsearch%2Fsg
Kyoto Japanese Cuisine,1,Macpherson,5,Japanese,https://www.burpple.com/kyotojapanesecuisine?bp_ref=%2Fsearch%2Fsg
18 Grill,2,Macpherson,15,"Mexican, Burgers",https://www.burpple.com/18-grill?bp_ref=%2Fsearch%2Fsg
Shiok Lah,1,Macpherson,10,"Kopitiam, Hawker Food",https://www.burpple.com/shiok-lah-macpherson-mall?bp_ref=%2Fsearch%2Fsg
Bao Zi Dian,1,Macpherson,5,"Dim Sum, Local Delights",https://www.burpple.com/bao-zi-dian?bp_ref=%2Fsearch%2Fsg
The Leggy Business,4,Macpherson,10,Thai,https://www.burpple.com/the-leggy-business?bp_ref=%2Fsearch%2Fsg
Huggs Coffee (18 Tai Seng),6,Macpherson,10,Cafes & Coffee,https://www.burpple.com/huggs-coffee-at-18-tai-seng?bp_ref=%2Fsearch%2Fsg
Yi Jia Ren Live Seafood,1,Macpherson,15,"Zi Char, Seafood, Hawker Food",https://www.burpple.com/yi-jia-ren-live-seafood?bp_ref=%2Fsearch%2Fsg
Rocky Master (18 Tai Seng),1,Macpherson,15,"Western, Cafes & Coffee, Halal",https://www.burpple.com/rocky-master-18-tai-seng?bp_ref=%2Fsearch%2Fsg
Julaiha Muslim Restaurant,12,Macpherson,10,"Indian, Supper, Hawker Food, Halal",https://www.burpple.com/julaiha-muslim-restaurant?bp_ref=%2Fsearch%2Fsg
Food Point,3,Macpherson,5,"Kopitiam, Hawker Food",https://www.burpple.com/blk-325-ubi-ave-1-ubi-eating-house?bp_ref=%2Fsearch%2Fsg
Meats N Malts,15,Macpherson,25,"Pizza, Pasta, Bars, Western, Late Night",https://www.burpple.com/meats-n-malts?bp_ref=%2Fsearch%2Fsg
Yamato Izakaya,22,Macpherson,30,Japanese,https://www.burpple.com/yamato?bp_ref=%2Fsearch%2Fsg
Waa Cow! (Marina One),53,Marina Bay,20,"Japanese, 1-for-1 Deals",https://www.burpple.com/waa-cow-marina-one?bp_ref=%2Fsearch%2Fsg
Marina Bay BBQ Steamboat Buffet,2,Marina Bay,30,"Steamboat, Buffets, Good For Groups, BBQ",https://www.burpple.com/marina-bay-bbq-steamboat-buffet?bp_ref=%2Fsearch%2Fsg
Black Tap,124,Marina Bay,30,"Craft Beer, Desserts, Western, Burgers",https://www.burpple.com/black-tap?bp_ref=%2Fsearch%2Fsg
26@Marina Bar & Bistro,11,Marina Bay,15,"Pasta, Bars, Good For Groups, Western, Burgers",https://www.burpple.com/26-at-marina?bp_ref=%2Fsearch%2Fsg
Yardbird Southern Table & Bar,187,Marina Bay,60,"Western, Breakfast & Brunch, Late Night, Cocktails, Dinner with Drinks",https://www.burpple.com/yardbirdsingapore?bp_ref=%2Fsearch%2Fsg
CUT By Wolfgang Puck,130,Marina Bay,250,"Michelin Guide Singapore 2018, Steak, Date Night, Dinner with Drinks, Michelin Guide Singapore 2017, Fine Dining",https://www.burpple.com/cut-by-wolfgang-puck?bp_ref=%2Fsearch%2Fsg
Cafe Milligram,34,Marina Bay,25,"Pasta, Cafes & Coffee, 1-for-1 Deals, Sandwiches, Burgers, Breakfast & Brunch",https://www.burpple.com/cafe-milligram?bp_ref=%2Fsearch%2Fsg
Rasapura Masters,86,Marina Bay,15,"Kopitiam, Local Delights, Hawker Food",https://www.burpple.com/rasapura-masters-food-court?bp_ref=%2Fsearch%2Fsg
DC Super Heroes Cafe (Marina Bay Sands),87,Marina Bay,40,"Interesting, Western, Desserts, Cafes & Coffee, 1-for-1 Deals, Burgers, Halal",https://www.burpple.com/dc-comics-super-heroes-cafe-official?bp_ref=%2Fsearch%2Fsg
NUDE Seafood,149,Marina Bay,20,"Seafood, Good For Groups",https://www.burpple.com/nude-seafoodmbfc-tower-3?bp_ref=%2Fsearch%2Fsg
Din Tai Fung (Marina Bay Sands),80,Marina Bay,25,"Taiwanese, Dim Sum, Good For Groups, Chinese",https://www.burpple.com/din-tai-fung-32?bp_ref=%2Fsearch%2Fsg
Cultures Specialty Coffee,24,Raffles Place,20,"Japanese, Cafes & Coffee, 1-for-1 Deals, Newly Opened",https://www.burpple.com/cultures-specialty-coffee?bp_ref=%2Fsearch%2Fsg
Sen Of Japan,55,Marina Bay,30,"Supper, Japanese, 1-for-1 Deals",https://www.burpple.com/sen-of-japan?bp_ref=%2Fsearch%2Fsg
Spago By Wolfgang Puck,262,Marina Bay,90,"Great View, Steak, Date Night, Dinner with Drinks, Western, Fine Dining",https://www.burpple.com/spago-by-wolfgang-puck?bp_ref=%2Fsearch%2Fsg
Majestic Restaurant,82,Marina Bay,70,"Good For Groups, Chinese",https://www.burpple.com/majestic-restaurant?bp_ref=%2Fsearch%2Fsg
Caffe Fernet,79,Raffles Place,60,"Italian, Pasta, Date Night, Late Night, Dinner with Drinks, Cocktails",https://www.burpple.com/caffefernet?bp_ref=%2Fsearch%2Fsg
Bread Street Kitchen Singapore,275,Marina Bay,50,"Bars, Date Night, Dinner with Drinks, European, Western",https://www.burpple.com/bread-street-kitchen-singapore?bp_ref=%2Fsearch%2Fsg
KOMA Singapore,2,Marina Bay,,"Bars, Japanese, Late Night, Dinner with Drinks, Cocktails",https://www.burpple.com/koma-singapore?bp_ref=%2Fsearch%2Fsg
Toast Box (Marina Bay Link Mall),4,Marina Bay,10,"Local Delights, Bread, Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/toast-box-25?bp_ref=%2Fsearch%2Fsg
Munch (Downtown Station),16,Raffles Place,15,"Burpple Guides, Salads, Healthy, 1-for-1 Deals",https://www.burpple.com/munch-saladsmith-downtown?bp_ref=%2Fsearch%2Fsg
SSÄM Korean Mexican Kitchen,24,Marina Bay,10,"Mexican, Cheap & Good, Salads, Healthy, Korean",https://www.burpple.com/ssam-marina-bay-link-mall?bp_ref=%2Fsearch%2Fsg
POLLEN,235,Marina Bay,60,"High Tea, French, Date Night, European, Dinner with Drinks, Mediterranean, Fine Dining",https://www.burpple.com/pollen?bp_ref=%2Fsearch%2Fsg
Santa Fe Tex-Mex Grill,49,Marina Bay,35,"Great View, Mexican, Western, Dinner with Drinks, Date Night",https://www.burpple.com/santa-fe-tex-mex-grill?bp_ref=%2Fsearch%2Fsg
R&B Tea (Marina Bay Sands),15,Marina Bay,5,Desserts,https://www.burpple.com/rb-tea-marina-bay-sands?bp_ref=%2Fsearch%2Fsg
Angelina (Marina Bay Sands),16,Marina Bay,40,"French, Date Night, Desserts, Breakfast & Brunch, Cafes & Coffee",https://www.burpple.com/angelina-marina-bay-sands?bp_ref=%2Fsearch%2Fsg
Tropical Sundays,2,Marina Bay,5,"1-for-1 Deals, Desserts, Healthy, Burpple Beyond",https://www.burpple.com/tropical-sundays?bp_ref=%2Fsearch%2Fsg
Kinki,123,Raffles Place,60,"Bars, Sushi, Good For Groups, Dinner with Drinks, Japanese",https://www.burpple.com/kinki-restaurant-bar?bp_ref=%2Fsearch%2Fsg
Tatsu (Asia Square),80,Marina Bay,100,"Teppanyaki, Sushi, Date Night, Japanese",https://www.burpple.com/tatsu-asia-square?bp_ref=%2Fsearch%2Fsg
OLA Cocina Del Mar,114,Marina Bay,60,"Spanish, Date Night, Dinner with Drinks",https://www.burpple.com/ola-cocina-del-mar-by-osvaldo-forlino?bp_ref=%2Fsearch%2Fsg
LAVO Singapore,9,Marina Bay,90,"Great View, Pasta, Italian, Steak, Date Night, Dinner with Drinks, Late Night, Cocktails",https://www.burpple.com/lavo-singapore?bp_ref=%2Fsearch%2Fsg
Venchi (Marina Bay Sands),12,Marina Bay,10,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/venchi-3?bp_ref=%2Fsearch%2Fsg
LeVeL 33,193,Marina Bay,60,"Steak, Date Night, Dinner with Drinks, European, Craft Beer",https://www.burpple.com/level-33-craftbrewery-restaurant-lounge?bp_ref=%2Fsearch%2Fsg
Paradise Classic (Marina Bay Link Mall),23,Marina Bay,30,Chinese,https://www.burpple.com/paradise-inn-12?bp_ref=%2Fsearch%2Fsg
Forbidden Duck,65,Marina Bay,,Chinese,https://www.burpple.com/forbiddenducksg?bp_ref=%2Fsearch%2Fsg
Attap House (Asia Square),1,Marina Bay,10,Local Delights,https://www.burpple.com/attap-house-2?bp_ref=%2Fsearch%2Fsg
Patisserie Platine By Waku Ghin,49,Marina Bay,15,"Desserts, Cakes",https://www.burpple.com/rise-mbs-tower-1?bp_ref=%2Fsearch%2Fsg
Satay By The Bay,104,Marina Bay,,"Kopitiam, Hawker Food",https://www.burpple.com/satay-by-the-bay?bp_ref=%2Fsearch%2Fsg
Pho-losophy,5,Marina Bay,15,Vietnamese,https://www.burpple.com/pholosophy?bp_ref=%2Fsearch%2Fsg
Deja Brew Cafe,7,Tanjong Pagar,15,"Local Delights, Cafes & Coffee, Chinese",https://www.burpple.com/deja-brew-cafe?bp_ref=%2Fsearch%2Fsg
LiHO (Marina Bay Sands),5,Marina Bay,5,Desserts,https://www.burpple.com/liho-at-marina-bay-sands-shoppes?bp_ref=%2Fsearch%2Fsg
Yolé (Marina Bay Sands),3,Marina Bay,5,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/yole-marina-bay-sands?bp_ref=%2Fsearch%2Fsg
Rise (Marina Bay Sands),90,Marina Bay,75,"Buffets, Good For Groups",https://www.burpple.com/rise?bp_ref=%2Fsearch%2Fsg
Club55 (Marina Bay Sands),14,Marina Bay,50,"Buffets, Desserts, Dinner with Drinks",https://www.burpple.com/club-55-marina-bay-sands?bp_ref=%2Fsearch%2Fsg
Starbucks (Marina Bay Link Mall),20,Marina Bay,10,Cafes & Coffee,https://www.burpple.com/starbucks-73?bp_ref=%2Fsearch%2Fsg
Boulevard (Marina Bay Financial Centre),3,Marina Bay,35,"Bars, Pasta, Pizza, Western, Dinner with Drinks, Late Night, Burgers",https://www.burpple.com/boulevard-bayfront?bp_ref=%2Fsearch%2Fsg
PAUL (Marina Bay Link Mall),20,Marina Bay,20,"French, Bread, Breakfast & Brunch",https://www.burpple.com/paul-1?bp_ref=%2Fsearch%2Fsg
Verve Pizza Bar (Marina Bay),17,Marina Bay,30,"Italian, Good For Groups, Dinner with Drinks",https://www.burpple.com/verve-pizza-bar?bp_ref=%2Fsearch%2Fsg
Seafood Paradise (Marina Bay Sands),20,Marina Bay,40,"Seafood, Good For Groups, Chinese",https://www.burpple.com/seafood-paradise-at-mbs?bp_ref=%2Fsearch%2Fsg
BreadTalk (Marina Bay Link Mall),4,Marina Bay,,"Desserts, Bread",https://www.burpple.com/breadtalk-47?bp_ref=%2Fsearch%2Fsg
Toast Box (Marina Bay Sands),25,Marina Bay,10,"Local Delights, Bread, Cafes & Coffee",https://www.burpple.com/toast-box-mbs-shoppes-mall?bp_ref=%2Fsearch%2Fsg
RISE Lounge (Marina Bay Sands),6,Marina Bay,,"Bars, Desserts",https://www.burpple.com/rise-lounge-mbs?bp_ref=%2Fsearch%2Fsg
Canton Paradise (Marina Bay Sands),82,Marina Bay,25,"Dim Sum, Good For Groups, Chinese",https://www.burpple.com/canton-paradise-marina-bay-sands?bp_ref=%2Fsearch%2Fsg
PappaMia (Marina Bay Link Mall),10,Marina Bay,10,"Local Delights, Hawker Food, Halal",https://www.burpple.com/pappamia-mblm?bp_ref=%2Fsearch%2Fsg
Starbucks Reserve (Marina Bay Sands),21,Marina Bay,10,Cafes & Coffee,https://www.burpple.com/marina-bay-sands-starbucks-reserve?bp_ref=%2Fsearch%2Fsg
WOLF (Marina Bay Link Mall),5,Marina Bay,20,Japanese,https://www.burpple.com/wolf-1?bp_ref=%2Fsearch%2Fsg
Imperial Treasure Fine Chinese Cuisine (Marina Bay Sands),62,Marina Bay,45,"Dim Sum, Chinese",https://www.burpple.com/imperial-treasure-fine-chinese-cuisine?bp_ref=%2Fsearch%2Fsg
Tian Tian Hainanese Chicken Rice (Shenton House),4,Tanjong Pagar,5,"Chicken Rice, Hawker Food",https://www.burpple.com/tian-tian-hainanese-chicken-rice-at-shenton-house?bp_ref=%2Fsearch%2Fsg
Absolute Thai (Marina Bay Link Mall),21,Marina Bay,,Thai,https://www.burpple.com/absolute-thaimarina-bay-link-mall?bp_ref=%2Fsearch%2Fsg
1983 A Taste Of Nanyang (Marina Bay Sands),30,Marina Bay,10,"Kopitiam, Hawker Food",https://www.burpple.com/1983-a-taste-of-nanyang-mbs?bp_ref=%2Fsearch%2Fsg
Ippudo X Kuro-Obi (Marina Bay Sands),43,Marina Bay,15,"Ramen, Japanese",https://www.burpple.com/ippudo-marina-bay-sands-kuroobi?bp_ref=%2Fsearch%2Fsg
The Connoisseur Concerto (Marina Bay Sands),34,Marina Bay,20,"Cafes & Coffee, Western, Cakes, Breakfast & Brunch",https://www.burpple.com/tcc-marina-bay-sands?bp_ref=%2Fsearch%2Fsg
Workspace Espresso (Marina Bay Financial Centre),16,Marina Bay,15,"Salads, Healthy, Cafes & Coffee",https://www.burpple.com/workspace-espresso?bp_ref=%2Fsearch%2Fsg
Copper Chimney Express (Marina Bay Financial Centre),2,Raffles Place,15,Indian,https://www.burpple.com/copper-chimney-express?bp_ref=%2Fsearch%2Fsg
Old Tea Hut (Marina Bay Link Mall),1,Marina Bay,5,Cafes & Coffee,https://www.burpple.com/old-tea-hut-mbfc?bp_ref=%2Fsearch%2Fsg
Burger King (Marina Bay Link Mall),23,Marina Bay,10,"Fast Food, Burgers, Halal",https://www.burpple.com/burger-king-at-marina-bay-link-mall?bp_ref=%2Fsearch%2Fsg
Standing Sushi Bar (Marina Bay Link Mall),43,Marina Bay,30,"Sushi, Japanese",https://www.burpple.com/standing-sushi-bar-at-marina-bay-link-mall?bp_ref=%2Fsearch%2Fsg
Pâtisserie Glacé (Marina Bay Link Mall),5,Marina Bay,,"Desserts, Cakes",https://www.burpple.com/ptisserie-glac?bp_ref=%2Fsearch%2Fsg
Aloha Poké (Marina Bay Link Mall),8,Marina Bay,20,"Salads, Healthy",https://www.burpple.com/aloha-poke-1?bp_ref=%2Fsearch%2Fsg
Da Paolo Gastronomia (Marina Bay Sands),22,Marina Bay,20,"Pizza, Ice Cream & Yoghurt, Italian, Desserts, Bread, Breakfast & Brunch",https://www.burpple.com/da-paolo-gastronomia-7?bp_ref=%2Fsearch%2Fsg
Seasonal Tastes (The Westin Singapore),188,Marina Bay,80,"Seafood, Buffets, Good For Groups",https://www.burpple.com/seasonal-tastes-1?bp_ref=%2Fsearch%2Fsg
Mex Out (Marina Bay Financial Centre),7,Marina Bay,15,Mexican,https://www.burpple.com/marina-bay-financial-center-tower-3?bp_ref=%2Fsearch%2Fsg
Pepper Lunch Express (Marina Bay Sands),1,Marina Bay,10,"Steak, Kopitiam, Japanese",https://www.burpple.com/pepper-lunch-express-mbs?bp_ref=%2Fsearch%2Fsg
Din Tai Fung (Marina Bay Link Mall),62,Marina Bay,25,"Taiwanese, Dim Sum, Chinese",https://www.burpple.com/din-tai-fung-31?bp_ref=%2Fsearch%2Fsg
Ichiban Boshi (Marina Bay Link Mall),40,Marina Bay,25,"Sushi, Chirashi, Good For Groups, Japanese",https://www.burpple.com/ichiban-boshi-16?bp_ref=%2Fsearch%2Fsg
Mex Out (Marina Bay Financial Centre),7,Marina Bay,15,Mexican,https://www.burpple.com/marina-bay-financial-center-tower-3?bp_ref=%2Fsearch%2Fsg
Harry's (Marina Bay Link Mall),11,Raffles Place,30,"Bars, Pizza, Western, Dinner with Drinks, Good For Groups, Late Night, 1-for-1 Deals, Burgers, Burpple Beyond",https://www.burpple.com/harrys-marina-bay?bp_ref=%2Fsearch%2Fsg
TWG Tea On The Bay (Marina Bay Sands),251,Marina Bay,40,"High Tea, Cakes, Desserts, Breakfast & Brunch",https://www.burpple.com/twg-tea-salon-boutique-6?bp_ref=%2Fsearch%2Fsg
Hokkaido Ramen Men-ya KAIKO (Marina Bay Link Mall),3,Marina Bay,20,"Ramen, Japanese",https://www.burpple.com/menya-kaiko-hokkaido-ramen?bp_ref=%2Fsearch%2Fsg
The House Of Robert Timms (Marina Bay Link Mall),2,Marina Bay,25,"Breakfast & Brunch, Cafes & Coffee, Desserts",https://www.burpple.com/the-house-of-robert-timms-marina-bay-link-mall?bp_ref=%2Fsearch%2Fsg
The Coffee Bean & Tea Leaf (Marina Bay Link Mall),6,Marina Bay,,"Cafes & Coffee, Halal",https://www.burpple.com/coffee-bean-tea-leaf-marina-bay-link-mall?bp_ref=%2Fsearch%2Fsg
Janice Wong (The Shoppes At Marina Bay Sands),41,Marina Bay,,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/janice-wong-sweets-at-ion-orchard?bp_ref=%2Fsearch%2Fsg
Ng Ah Sio Bak Kut Teh (Marina Bay Sands),4,Marina Bay,15,"Soup, Bak Kut Teh, Rainy Day Comforts, Hawker Food",https://www.burpple.com/ng-ah-sio-bak-kut-teh-marina-bay-sands?bp_ref=%2Fsearch%2Fsg
The Coffee Bean & Tea Leaf Beanstro (Marina Bay Sands),113,Marina Bay,10,"Cafes & Coffee, Halal",https://www.burpple.com/the-coffee-bean-tea-leaf-beanstro-1?bp_ref=%2Fsearch%2Fsg
Ming Kitchen Seafood Restaurant (The Shoppes At Marina Bay Sands),11,Marina Bay,15,"Seafood, Zi Char",https://www.burpple.com/ming-kitchen?bp_ref=%2Fsearch%2Fsg
Three Blind Pigs,3,Marina Bay,25,"Mexican, Western, Burgers",https://www.burpple.com/three-blind-pigs?bp_ref=%2Fsearch%2Fsg
